"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50592","Создание класса из бара ""Создать задание""","default","Sat Feb 28 15:27:17 UTC 2026","broken","Sat Feb 28 15:28:08 UTC 2026","Tests Teacher Catalog Tasks","","",""
"","9404","Добавление ученика со страницы 'Все дети'","default","Sat Feb 28 15:22:07 UTC 2026","passed","Sat Feb 28 15:22:16 UTC 2026","Tests Parent Cabinet","","",""
"","27935","Покупка заданий со счёта кошелька","default","Sat Feb 28 15:23:54 UTC 2026","failed","Sat Feb 28 15:24:22 UTC 2026","Tests Parent Shop Page","","",""
"","14669","Курс. Решение задания с типом Задача (введен код от учителя)","default","Sat Feb 28 15:33:24 UTC 2026","passed","Sat Feb 28 15:33:39 UTC 2026","Tests Course Educonts- student","","",""
"","23808","Создание проверочной работы для всего класса","default","Sat Feb 28 15:26:50 UTC 2026","passed","Sat Feb 28 15:27:14 UTC 2026","Tests Teacher Cabinet","","",""
"","19883","Поиск заданий с фильтрами","default","Sat Feb 28 15:25:19 UTC 2026","passed","Sat Feb 28 15:25:39 UTC 2026","Tests Student(parent) Catalog Tasks","","",""
"","8214","Категория. Войти в категории по ссылке (учитель зарегистрирован на платформе)","default","Sat Feb 28 15:31:39 UTC 2026","passed","Sat Feb 28 15:31:47 UTC 2026","Tests Category Educonts","","",""
"","10093","Задание. Сообщить об ошибке (ученик присоединен по коду)","default","Sat Feb 28 15:34:41 UTC 2026","passed","Sat Feb 28 15:34:51 UTC 2026","Tests Tasks Educonts- student","","",""
"","0","Самостоятельный ученик: Авторизация по ссылке","default","Sat Feb 28 15:20:05 UTC 2026","skipped","Sat Feb 28 15:20:05 UTC 2026","Tests: All users autorization","","",""
"","7388","Задание. Черновик","default","Sat Feb 28 15:29:08 UTC 2026","passed","Sat Feb 28 15:29:16 UTC 2026","Tests Tasks Educonts","","",""
"","5863","Категории. Выполнить поиск по подтемам (ученик не присоединен)","default","Sat Feb 28 15:36:16 UTC 2026","passed","Sat Feb 28 15:36:22 UTC 2026","Tests Category Educonts- student","","",""
