"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","2","Тесты: Каталог заданий","1124","0","","0"
"1","","9","Тесты: EORs - 1011","1002","0","","0"
